Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,DebtRatio_age,Income_per_Loan
1,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,36.134195805,701.5384615384615
2,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,4.87504804,650.0
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,3.23430825,1521.0
4,0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,1.08149046,660.0
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,1.221359055,9084.0
6,0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,27.794915706,1166.6666666666667
7,0,0.305682465,57,0,5710.0,,8,0,3,0,0.0,325470.0,
8,0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,8.187660663,437.5
9,0,0.116950644,27,0,46.0,,2,0,0,0,,1242.0,
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,34.558581357,2631.5555555555557
11,0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,9.2842863,500.0
12,0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,27.107966760000004,928.7142857142857
13,0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,13.72428745,958.0
14,1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,15.31858988,1522.2222222222222
15,0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0,36252.0,0.0
16,0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,13.433072256,1623.142857142857
17,0,0.061086118,78,0,2058.0,,10,0,2,0,0.0,160524.0,
18,0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,9.97852518,1257.142857142857
19,0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,22.699177077,468.57142857142856
20,0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,1.6467065749999998,166.5
21,0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,18.491992533999998,1230.0
22,1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,18.081972668,428.57142857142856
23,0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,9.403038801,625.0
24,0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,2.736390048,1319.3333333333333
25,0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,14.01406701,268.44444444444446
26,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,79.76266840000001,334.0
27,0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,5.664986787999999,378.77272727272725
28,0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,2.924430243,147.05882352941177
29,0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0.282269928,3400.0
30,0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,25.293946566000002,366.6666666666667
31,0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,4.3456320040000005,525.0
32,0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,11.344873512,750.0
33,0,0.083418009,62,0,977.0,,6,0,1,0,0.0,60574.0,
34,0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,17.887301841,777.7777777777778
35,0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,10.824742278,318.57142857142856
36,0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,4.706481216,1222.2222222222222
37,0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,28.39290175,444.44444444444446
38,0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,10.0558659,3400.0
39,0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0.25974026,1000.0
40,0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,42.033704648,350.0
41,0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,22.121733023999997,407.14285714285717
42,0,0.07289757,81,0,75.0,,7,0,0,0,0.0,6075.0,
